period,close,eps,ret,periodend
2019-09-01,44535.3384756304,3672.46784184143,8.24670315652661,07-Sep-2019
2019-09-08,44833.0562825629,3406.2492222421,7.64178336195237,14-Sep-2019
2019-09-15,47575.50870416,3405.28009242988,7.25160927150978,21-Sep-2019
2019-09-22,45351.2658183438,3405.3395791017,7.51120201650357,28-Sep-2019
2019-09-29,44017.6255837665,3592.7891959881,8.16684377606361,05-Oct-2019
2019-10-06,41010.1910885834,3562.20357900555,8.68909084121436,12-Oct-2019
2019-10-13,42498.3667195975,3726.49796608585,8.794441578467,19-Oct-2019
2019-10-20,44551.0475195018,3775.7244222821,8.48441651781029,26-Oct-2019
2019-10-27,46717.5412748938,3727.96080965627,8.0364174152674,02-Nov-2019
2019-11-03,46784.5155402434,3870.28068409235,8.28135746006857,09-Nov-2019
2019-11-10,46923.4432596607,3775.743257849,8.06775682935714,16-Nov-2019
2019-11-17,48028.7930283479,3840.0716127893,8.01533555100066,23-Nov-2019
2019-11-24,46968.6570898207,3792.51302340363,8.08516978378596,30-Nov-2019
2019-12-01,47104.0352607087,4127.97741077107,8.76060905449793,07-Dec-2019
2019-12-08,40585.7395287204,3511.50372646682,8.64933765516787,14-Dec-2019
2019-12-15,43199.9678386962,3365.63710994755,7.82892472701081,21-Dec-2019
2019-12-22,39356.5998544247,3138.48535130313,7.97780577872002,28-Dec-2019
2019-12-29,40742.8736330627,3536.78751058788,8.69274387900753,04-Jan-2020
2020-01-05,38759.8493743579,3574.16351365227,9.21690650145471,11-Jan-2020
2020-01-12,40330.5080353707,3571.32650247332,8.8691706824743,18-Jan-2020
2020-01-19,42985.5721550372,3798.36609271555,8.83986369959793,25-Jan-2020
2020-01-26,43901.7905658389,3784.39155767598,8.63012020477381,01-Feb-2020
2020-02-02,41050.7800481373,3673.26996991654,8.9519016682892,08-Feb-2020
2020-02-09,35104.533836966,3352.67961960403,9.54853902698991,15-Feb-2020
2020-02-16,36812.0909227595,3497.96388610931,9.50490539990427,22-Feb-2020
2020-02-23,38261.2341101466,3597.11063627822,9.4356016612357,29-Feb-2020
